"","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
"8293",12653,"Ailanthus","18/01/2011 08:57","Alto (> 8 mts)",180,"Grande",-68.846966831,-32.863318573,4,"Cuarta Oeste",1173332.70145,0,"alto"
"8296",12657,"Catalpa","17/01/2011 11:46","Medio (4 - 8 mts)",90,"Grande",-68.8467592209,-32.8633950829,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8300",12665,"Morera","17/01/2011 12:22","Medio (4 - 8 mts)",150,"Grande",-68.8464587513,-32.8629181414,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8309",12681,"Morera","19/01/2011 12:35","Alto (> 8 mts)",130,"Grande",-68.8484395293,-32.8629572962,6,"Residencial Norte",2694682.37982,0,"medio"
"8325",12705,"Morera","20/01/2011 09:16","Medio (4 - 8 mts)",70,"Grande",-68.8473675947,-32.8634186738,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8326",12706,"Ligustro","20/01/2011 09:08","Medio (4 - 8 mts)",76,"Grande",-68.8472859089,-32.8634170971,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8333",12714,"Tilo","20/01/2011 08:27","Muy bajo (1 - 2 mts)",8,"Chico",-68.8471474408,-32.8630266255,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8335",12716,"Fresno americano","20/01/2011 08:23","Medio (4 - 8 mts)",100,"Grande",-68.8471706146,-32.8629262537,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8343",12732,"Acer","24/01/2011 09:24","Medio (4 - 8 mts)",90,"Grande",-68.8485223446,-32.863563142,6,"Residencial Norte",2694682.37982,0,"medio"
"8349",12749,"Morera","24/01/2011 13:09","Medio (4 - 8 mts)",120,"Grande",-68.8481352791,-32.8644417302,6,"Residencial Norte",2694682.37982,0,"medio"
"8353",12755,"Morera","24/01/2011 13:33","Alto (> 8 mts)",110,"Grande",-68.8481122082,-32.8640853351,6,"Residencial Norte",2694682.37982,0,"medio"
"8355",12757,"Paraiso sombrilla","24/01/2011 13:39","Medio (4 - 8 mts)",100,"Grande",-68.8481224529,-32.8639933971,6,"Residencial Norte",2694682.37982,0,"medio"
"8356",12758,"Paraiso sombrilla","24/01/2011 13:42","Alto (> 8 mts)",120,"Grande",-68.8481250769,-32.8639062875,6,"Residencial Norte",2694682.37982,0,"medio"
"8357",12760,"Caducifolio","24/01/2011 13:53","Medio (4 - 8 mts)",50,"Mediano",-68.8481315665,-32.8638015274,6,"Residencial Norte",2694682.37982,0,"bajo"
"8361",12766,"Acacia SP","21/01/2011 12:23","Alto (> 8 mts)",160,"Grande",-68.8479742482,-32.8644282021,6,"Residencial Norte",2694682.37982,0,"medio"
"8362",12767,"Paraiso sombrilla","21/01/2011 12:20","Medio (4 - 8 mts)",70,"Grande",-68.8479317311,-32.8644246889,6,"Residencial Norte",2694682.37982,0,"bajo"
"8377",12795,"Paraiso","21/01/2011 13:11","Medio (4 - 8 mts)",80,"Grande",-68.848046493,-32.8638303388,6,"Residencial Norte",2694682.37982,0,"bajo"
"8383",12803,"Ailanthus","21/01/2011 08:27","Alto (> 8 mts)",140,"Grande",-68.847262362,-32.8643765624,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8390",12814,"Acer","20/01/2011 12:56","Muy bajo (1 - 2 mts)",6,"Chico",-68.8470728724,-32.8639039363,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8392",12816,"Ailanthus","20/01/2011 12:46","Alto (> 8 mts)",120,"Grande",-68.8470718414,-32.8638055583,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8397",12822,"Morera","20/01/2011 12:21","Medio (4 - 8 mts)",100,"Grande",-68.8470693663,-32.863554407,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8401",12828,"Fresno europeo","20/01/2011 11:52","Medio (4 - 8 mts)",80,"Grande",-68.8474965208,-32.863533514,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8408",12838,"Perenne","18/01/2011 09:27","Medio (4 - 8 mts)",80,"Grande",-68.846549873,-32.8634841843,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8432",12878,"Fresno americano","19/01/2011 08:33","Bajo (2 - 4 mts)",26,"Mediano",-68.8459195565,-32.8639188005,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8438",12885,"Paraiso sombrilla","18/01/2011 11:48","Alto (> 8 mts)",220,"Grande",-68.8462789182,-32.8638592275,4,"Cuarta Oeste",1173332.70145,0,"alto"
"8445",12895,"Fresno europeo","18/01/2011 09:38","Muy bajo (1 - 2 mts)",8,"Chico",-68.8461463602,-32.8634692616,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8446",12896,"Fresno europeo","18/01/2011 09:36","Bajo (2 - 4 mts)",32,"Mediano",-68.8462506284,-32.863474259,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8461",12922,"Paraiso sombrilla","14/01/2011 09:16","Medio (4 - 8 mts)",120,"Grande",-68.8451822759,-32.8642682485,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8464",12927,"Olmo bola","12/01/2011 13:51","Medio (4 - 8 mts)",120,"Grande",-68.8444708645,-32.8642351666,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8469",12933,"Olmo bola","12/01/2011 13:17","Medio (4 - 8 mts)",130,"Grande",-68.8439407887,-32.8641490961,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8475",12944,"Acer","14/01/2011 10:40","Alto (> 8 mts)",130,"Grande",-68.8445880595,-32.8638644693,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8478",12949,"Fresno europeo","12/01/2011 09:03","Medio (4 - 8 mts)",80,"Grande",-68.8445065897,-32.8637879232,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8479",12950,"Fresno americano","12/01/2011 08:56","Bajo (2 - 4 mts)",49,"Mediano",-68.8443539944,-32.8637849202,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8489",12964,"Caducifolio","12/01/2011 11:54","Bajo (2 - 4 mts)",75,"Grande",-68.8443702368,-32.8634066756,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8499",12977,"Morera","15/02/2011 08:34","Alto (> 8 mts)",210,"Grande",-68.84393313,-32.8643840819,4,"Cuarta Oeste",1173332.70145,0,"alto"
"8501",12984,"Paraiso","15/02/2011 12:38","Alto (> 8 mts)",114,"Grande",-68.844302543,-32.8643620485,4,"Cuarta Oeste",1173332.70145,1,"medio"
"8508",12992,"Morera","15/02/2011 12:10","Alto (> 8 mts)",240,"Grande",-68.8445813266,-32.8647849917,4,"Cuarta Oeste",1173332.70145,0,"alto"
"8509",12993,"Morera","15/02/2011 12:07","Alto (> 8 mts)",150,"Grande",-68.8445753601,-32.8648422374,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8521",13015,"Morera","15/02/2011 09:34","Muy bajo (1 - 2 mts)",20,"Chico",-68.8439042847,-32.8652209326,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8529",13032,"Fresno europeo","16/02/2011 09:44","Bajo (2 - 4 mts)",38,"Mediano",-68.8447431626,-32.8659688361,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8533",13038,"Prunas","15/02/2011 13:26","Bajo (2 - 4 mts)",42,"Mediano",-68.8446601349,-32.8652262078,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8534",13040,"Morera","15/02/2011 13:19","Alto (> 8 mts)",200,"Grande",-68.8446873357,-32.8649903987,4,"Cuarta Oeste",1173332.70145,0,"alto"
"8547",13058,"Morera","16/02/2011 10:30","Bajo (2 - 4 mts)",46,"Mediano",-68.8454331022,-32.8650018956,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8554",13069,"Morera","17/02/2011 11:33","Alto (> 8 mts)",190,"Grande",-68.8455932239,-32.8646100092,4,"Cuarta Oeste",1173332.70145,0,"alto"
"8563",13081,"Morera","17/02/2011 10:13","Bajo (2 - 4 mts)",38,"Mediano",-68.8464368445,-32.8644744804,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8567",13088,"Olmo comun","17/02/2011 09:45","Medio (4 - 8 mts)",64,"Grande",-68.8464684787,-32.8648457165,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8568",13089,"Morera","17/02/2011 09:42","Alto (> 8 mts)",190,"Grande",-68.8464629531,-32.8648920461,4,"Cuarta Oeste",1173332.70145,0,"alto"
"8572",13095,"Morera","17/02/2011 09:20","Medio (4 - 8 mts)",170,"Grande",-68.8464133945,-32.8652996587,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8584",13109,"Morera","16/02/2011 12:32","Alto (> 8 mts)",132,"Grande",-68.8455533966,-32.8660571735,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8591",13117,"Morera","17/02/2011 13:31","Alto (> 8 mts)",150,"Grande",-68.845487183,-32.8655963797,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8597",13128,"Morera","17/02/2011 12:28","Alto (> 8 mts)",160,"Grande",-68.8455469651,-32.8650195228,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8600",13133,"Paraiso sombrilla","17/02/2011 12:04","Medio (4 - 8 mts)",70,"Grande",-68.845793974,-32.8649547179,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8602",13136,"Paraiso sombrilla","21/02/2011 09:33","Bajo (2 - 4 mts)",58,"Mediano",-68.8470221303,-32.8651777813,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8605",13139,"Fresno europeo","21/02/2011 09:20","Alto (> 8 mts)",64,"Grande",-68.8470297912,-32.8649710022,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8609",13145,"Paraiso","21/02/2011 08:54","Alto (> 8 mts)",140,"Grande",-68.8470416896,-32.8645674702,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8617",13155,"Morera","18/02/2011 12:48","Alto (> 8 mts)",160,"Grande",-68.8466278589,-32.8648557342,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8626",13168,"Paraiso sombrilla","18/02/2011 11:24","Medio (4 - 8 mts)",96,"Grande",-68.8465119295,-32.8658126548,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8628",13171,"Fresno europeo","18/02/2011 10:03","Bajo (2 - 4 mts)",24,"Mediano",-68.8464862894,-32.8660233306,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8634",13182,"Acer","21/02/2011 10:53","Muy bajo (1 - 2 mts)",12,"Chico",-68.8469982106,-32.8658321509,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8639",13189,"Morera","21/02/2011 10:01","Medio (4 - 8 mts)",96,"Grande",-68.847010054,-32.8655037239,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8641",13191,"Acer","22/02/2011 10:47","Medio (4 - 8 mts)",84,"Grande",-68.8471603511,-32.864710561,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8643",13195,"Morera","22/02/2011 09:42","Medio (4 - 8 mts)",70,"Grande",-68.8472548706,-32.8645427591,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8644",13196,"Morera","22/02/2011 09:38","Alto (> 8 mts)",110,"Grande",-68.8473401106,-32.8645513797,4,"Cuarta Oeste",1173332.70145,1,"medio"
"8657",13222,"Paraiso","21/02/2011 12:56","Alto (> 8 mts)",132,"Grande",-68.8475465357,-32.8651912318,6,"Residencial Norte",2694682.37982,0,"medio"
"8660",13227,"Paraiso","21/02/2011 12:41","Alto (> 8 mts)",140,"Grande",-68.8475498526,-32.8653789192,6,"Residencial Norte",2694682.37982,0,"medio"
"8662",13231,"Paraiso","21/02/2011 12:31","Alto (> 8 mts)",110,"Grande",-68.8475553042,-32.8655516338,6,"Residencial Norte",2694682.37982,0,"medio"
"8669",13241,"Morera","21/02/2011 12:05","Medio (4 - 8 mts)",100,"Grande",-68.8475568092,-32.8660121755,6,"Residencial Norte",2694682.37982,0,"medio"
"8680",13257,"Morera","22/02/2011 13:10","Alto (> 8 mts)",130,"Grande",-68.8471058517,-32.8657442735,6,"Residencial Norte",2694682.37982,0,"medio"
"8682",13259,"Morera","22/02/2011 12:59","Bajo (2 - 4 mts)",42,"Mediano",-68.8471100158,-32.8656693188,6,"Residencial Norte",2694682.37982,0,"bajo"
"8683",13260,"Fresno europeo","22/02/2011 11:33","Medio (4 - 8 mts)",50,"Mediano",-68.8471159025,-32.8655773432,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8685",13262,"Morera","22/02/2011 11:26","Medio (4 - 8 mts)",106,"Grande",-68.8471201073,-32.8654892464,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8690",13273,"Morera","23/02/2011 12:14","Alto (> 8 mts)",180,"Grande",-68.8477295268,-32.8645673445,6,"Residencial Norte",2694682.37982,0,"alto"
"8694",13282,"Morera","23/02/2011 13:13","Medio (4 - 8 mts)",104,"Grande",-68.8476783006,-32.865338346,6,"Residencial Norte",2694682.37982,0,"medio"
"8695",13283,"Morera","23/02/2011 13:08","Alto (> 8 mts)",120,"Grande",-68.8476811708,-32.865313726,6,"Residencial Norte",2694682.37982,0,"medio"
"8698",13287,"Caducifolio","23/02/2011 12:55","Muy bajo (1 - 2 mts)",12,"Chico",-68.8476822928,-32.8650848808,6,"Residencial Norte",2694682.37982,0,"bajo"
"8701",13291,"Acer","23/02/2011 10:23","Medio (4 - 8 mts)",72,"Grande",-68.8483252041,-32.8648225634,6,"Residencial Norte",2694682.37982,0,"bajo"
"8704",13295,"Paraiso sombrilla","23/02/2011 10:11","Medio (4 - 8 mts)",76,"Grande",-68.8483358489,-32.8650761511,6,"Residencial Norte",2694682.37982,0,"bajo"
"8705",13296,"Acer","23/02/2011 10:07","Alto (> 8 mts)",172,"Grande",-68.8483345222,-32.865133115,6,"Residencial Norte",2694682.37982,0,"medio"
"8706",13298,"Fresno europeo","23/02/2011 10:03","Muy bajo (1 - 2 mts)",14,"Chico",-68.848337137,-32.8652408581,6,"Residencial Norte",2694682.37982,0,"bajo"
"8709",13302,"Caducifolio","23/02/2011 09:37","Muy bajo (1 - 2 mts)",5,"Chico",-68.8483200128,-32.8657607926,6,"Residencial Norte",2694682.37982,0,"bajo"
"8712",13306,"Paraiso","25/02/2011 09:24","Medio (4 - 8 mts)",76,"Grande",-68.8476858422,-32.8656499134,6,"Residencial Norte",2694682.37982,0,"bajo"
"8720",13318,"Fresno europeo","23/02/2011 09:30","Bajo (2 - 4 mts)",12,"Chico",-68.848346604,-32.8658399486,6,"Residencial Norte",2694682.37982,0,"bajo"
"8726",13327,"Fresno europeo","22/02/2011 13:35","Alto (> 8 mts)",146,"Grande",-68.8478869471,-32.8661777372,6,"Residencial Norte",2694682.37982,0,"medio"
"8727",13328,"Paraiso","22/02/2011 13:30","Medio (4 - 8 mts)",100,"Grande",-68.8477941178,-32.8661725992,6,"Residencial Norte",2694682.37982,0,"medio"
"8732",13335,"Morera","11/01/2011 14:10","Alto (> 8 mts)",130,"Grande",-68.845774033,-32.8671200319,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8739",13347,"Morera","12/01/2011 10:18","Medio (4 - 8 mts)",38,"Mediano",-68.8462262383,-32.8664159031,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8759",13376,"Morera","11/01/2011 09:27","Alto (> 8 mts)",150,"Grande",-68.8452670817,-32.8664112454,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8764",13389,"Paraiso","10/01/2011 14:22","Alto (> 8 mts)",160,"Grande",-68.8442873724,-32.8670045731,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8765",13391,"Ligustro","10/01/2011 12:34","Alto (> 8 mts)",240,"Grande",-68.8441373674,-32.866924956,4,"Cuarta Oeste",1173332.70145,0,"alto"
"8770",13396,"Fresno europeo","11/01/2011 10:33","Bajo (2 - 4 mts)",35,"Mediano",-68.8443675095,-32.8660698975,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8774",13402,"lamo blanco","06/04/2011 13:04","Medio (4 - 8 mts)",190,"Grande",-68.8437534243,-32.8651435835,4,"Cuarta Oeste",1173332.70145,0,"alto"
"8777",13406,"Acer","06/04/2011 12:55","Bajo (2 - 4 mts)",50,"Mediano",-68.8437518879,-32.8656353219,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"8788",13423,"Morera","28/02/2011 12:09","Alto (> 8 mts)",160,"Grande",-68.8493993918,-32.8653760818,6,"Residencial Norte",2694682.37982,0,"medio"
"8795",13434,"Morera","02/02/2011 12:21","Medio (4 - 8 mts)",184,"Grande",-68.8527702109,-32.8644956934,6,"Residencial Norte",2694682.37982,0,"alto"
"8799",13438,"Morera","02/02/2011 12:02","Medio (4 - 8 mts)",100,"Grande",-68.8527378817,-32.8648103939,6,"Residencial Norte",2694682.37982,0,"medio"
"8801",13442,"Morera","02/02/2011 10:21","Medio (4 - 8 mts)",100,"Grande",-68.8524323485,-32.8648256801,6,"Residencial Norte",2694682.37982,0,"medio"
"8802",13443,"Morera","02/02/2011 10:12","Alto (> 8 mts)",160,"Grande",-68.8523634429,-32.86482091,6,"Residencial Norte",2694682.37982,0,"medio"
"8804",13445,"Morera","02/02/2011 10:04","Alto (> 8 mts)",140,"Grande",-68.8522760657,-32.8648088143,6,"Residencial Norte",2694682.37982,0,"medio"
"8807",13448,"Fresno europeo","02/02/2011 09:54","Medio (4 - 8 mts)",66,"Grande",-68.8520651974,-32.8647852951,6,"Residencial Norte",2694682.37982,0,"bajo"
"8810",13451,"Fresno europeo","02/02/2011 09:42","Medio (4 - 8 mts)",80,"Grande",-68.852057407,-32.8645860879,6,"Residencial Norte",2694682.37982,0,"bajo"
"8814",13458,"Morera","02/02/2011 12:50","Alto (> 8 mts)",106,"Grande",-68.8528249755,-32.8637889855,6,"Residencial Norte",2694682.37982,0,"medio"
"8815",13459,"Morera","02/02/2011 13:00","Alto (> 8 mts)",170,"Grande",-68.8528301769,-32.8637144196,6,"Residencial Norte",2694682.37982,0,"medio"
"8835",13486,"Morera","31/01/2011 13:05","Alto (> 8 mts)",220,"Grande",-68.8520014616,-32.8637694896,6,"Residencial Norte",2694682.37982,0,"alto"
"8837",13488,"Morera","31/01/2011 12:56","Alto (> 8 mts)",160,"Grande",-68.8520152344,-32.8635919756,6,"Residencial Norte",2694682.37982,0,"medio"
"8838",13489,"Morera","31/01/2011 12:53","Medio (4 - 8 mts)",100,"Grande",-68.8520189033,-32.8635572602,6,"Residencial Norte",2694682.37982,0,"medio"
"8839",13490,"Morera","31/01/2011 12:50","Alto (> 8 mts)",140,"Grande",-68.85202584,-32.8634822644,6,"Residencial Norte",2694682.37982,0,"medio"
"8847",13500,"Fresno europeo","31/01/2011 12:28","Alto (> 8 mts)",140,"Grande",-68.8515349711,-32.8633383692,6,"Residencial Norte",2694682.37982,0,"medio"
"8850",13506,"Morera","01/02/2011 13:18","Alto (> 8 mts)",150,"Grande",-68.8513764548,-32.8635892879,6,"Residencial Norte",2694682.37982,1,"medio"
"8860",13527,"Morera","01/02/2011 12:12","Alto (> 8 mts)",140,"Grande",-68.8515283182,-32.8647451558,6,"Residencial Norte",2694682.37982,0,"medio"
"8862",13529,"Morera","01/02/2011 12:23","Alto (> 8 mts)",140,"Grande",-68.8512884738,-32.8646638473,6,"Residencial Norte",2694682.37982,0,"medio"
"8865",13532,"Paraiso","01/02/2011 12:35","Bajo (2 - 4 mts)",36,"Mediano",-68.8513126219,-32.8643875217,6,"Residencial Norte",2694682.37982,0,"bajo"
"8885",13564,"Morera","28/01/2011 09:27","Bajo (2 - 4 mts)",30,"Mediano",-68.8505901967,-32.8635524332,6,"Residencial Norte",2694682.37982,0,"bajo"
"8886",13565,"Fresno europeo","28/01/2011 09:25","Alto (> 8 mts)",120,"Grande",-68.850594438,-32.8635079766,6,"Residencial Norte",2694682.37982,0,"medio"
"8888",13571,"Morera","31/01/2011 12:08","Alto (> 8 mts)",180,"Grande",-68.8507801104,-32.8632867219,6,"Residencial Norte",2694682.37982,0,"alto"
"8895",13583,"Morera","28/02/2011 13:50","Alto (> 8 mts)",180,"Grande",-68.8518308054,-32.8648955692,6,"Residencial Norte",2694682.37982,0,"alto"
"8913",13611,"Morera","28/02/2011 11:38","Alto (> 8 mts)",130,"Grande",-68.8517665514,-32.8662480304,6,"Residencial Norte",2694682.37982,0,"medio"
"8916",13617,"Morera","28/02/2011 11:58","Alto (> 8 mts)",170,"Grande",-68.8517953053,-32.8659821348,6,"Residencial Norte",2694682.37982,0,"medio"
"8926",13636,"Jacarand","25/02/2011 09:33","Alto (> 8 mts)",94,"Grande",-68.8519175339,-32.8663530069,6,"Residencial Norte",2694682.37982,1,"medio"
"8927",13637,"Paraiso","25/02/2011 09:32","Alto (> 8 mts)",185,"Grande",-68.8519775566,-32.8664027875,6,"Residencial Norte",2694682.37982,0,"alto"
"8933",13644,"Fresno europeo","23/02/2011 13:27","Alto (> 8 mts)",80,"Grande",-68.8526030701,-32.8663422947,6,"Residencial Norte",2694682.37982,0,"bajo"
"8935",13646,"Acacia SP","23/02/2011 13:24","Alto (> 8 mts)",190,"Grande",-68.8526153171,-32.8662315142,6,"Residencial Norte",2694682.37982,0,"alto"
"8941",13658,"Morera","25/02/2011 13:25","Alto (> 8 mts)",180,"Grande",-68.8520129823,-32.8653733154,6,"Residencial Norte",2694682.37982,0,"alto"
"8945",13664,"Paraiso","25/02/2011 13:46","Alto (> 8 mts)",170,"Grande",-68.8520492636,-32.8649914245,6,"Residencial Norte",2694682.37982,0,"medio"
"8948",13668,"Morera","28/02/2011 11:14","Alto (> 8 mts)",220,"Grande",-68.8523038774,-32.8649451249,6,"Residencial Norte",2694682.37982,0,"alto"
"8955",13677,"Fresno europeo","23/02/2011 11:44","Bajo (2 - 4 mts)",43,"Mediano",-68.8527126058,-32.8651524214,6,"Residencial Norte",2694682.37982,0,"bajo"
"8964",13690,"Fresno americano","18/02/2011 12:43","Alto (> 8 mts)",180,"Grande",-68.8532469386,-32.8650557365,6,"Residencial Norte",2694682.37982,0,"alto"
"8965",13691,"Acacia SP","18/02/2011 12:35","Alto (> 8 mts)",155,"Grande",-68.8531277448,-32.8650419865,6,"Residencial Norte",2694682.37982,0,"medio"
"8967",13693,"Morera","18/02/2011 12:29","Medio (4 - 8 mts)",55,"Mediano",-68.8530094167,-32.8650281508,6,"Residencial Norte",2694682.37982,0,"bajo"
"8968",13694,"Fresno europeo","18/02/2011 12:26","Bajo (2 - 4 mts)",15,"Chico",-68.8528733471,-32.8650604347,6,"Residencial Norte",2694682.37982,0,"bajo"
"8975",13709,"Morera","31/01/2011 12:02","Medio (4 - 8 mts)",80,"Grande",-68.8509991644,-32.863298614,6,"Residencial Norte",2694682.37982,0,"bajo"
"8976",13712,"Fresno europeo","31/01/2011 11:47","Alto (> 8 mts)",160,"Grande",-68.851250704,-32.8633325159,6,"Residencial Norte",2694682.37982,0,"medio"
"8985",13723,"Morera","28/01/2011 13:03","Muy bajo (1 - 2 mts)",20,"Chico",-68.8512060768,-32.8641347499,6,"Residencial Norte",2694682.37982,0,"bajo"
"8986",13724,"Morera","28/01/2011 13:00","Bajo (2 - 4 mts)",36,"Mediano",-68.8512064614,-32.8641853707,6,"Residencial Norte",2694682.37982,0,"bajo"
"8987",13726,"Fresno americano","28/01/2011 08:39","Bajo (2 - 4 mts)",90,"Grande",-68.8498000247,-32.8635522679,6,"Residencial Norte",2694682.37982,0,"medio"
"8994",13735,"Morera","28/01/2011 09:07","Alto (> 8 mts)",200,"Grande",-68.849832368,-32.8631481497,6,"Residencial Norte",2694682.37982,1,"alto"
"8995",13736,"Acer","27/01/2011 09:25","Alto (> 8 mts)",100,"Grande",-68.8499046921,-32.8631561155,6,"Residencial Norte",2694682.37982,0,"medio"
"8999",13744,"Conifera","27/01/2011 09:47","Medio (4 - 8 mts)",100,"Grande",-68.8502885896,-32.8632185094,6,"Residencial Norte",2694682.37982,0,"medio"
"9022",13781,"Morera","27/01/2011 10:28","Medio (4 - 8 mts)",80,"Grande",-68.8496423286,-32.864021237,6,"Residencial Norte",2694682.37982,0,"bajo"
"9038",13803,"Paraiso","26/01/2011 13:08","Alto (> 8 mts)",120,"Grande",-68.8492295463,-32.8639932033,6,"Residencial Norte",2694682.37982,0,"medio"
"9045",13814,"Morera","26/01/2011 09:12","Bajo (2 - 4 mts)",18,"Chico",-68.8495360353,-32.863106129,6,"Residencial Norte",2694682.37982,0,"bajo"
"9048",13818,"Fresno europeo","26/01/2011 09:27","Medio (4 - 8 mts)",70,"Grande",-68.8497085944,-32.8632354665,6,"Residencial Norte",2694682.37982,0,"bajo"
"9052",13823,"Paraiso sombrilla","26/01/2011 10:01","Medio (4 - 8 mts)",70,"Grande",-68.8496591494,-32.8638162666,6,"Residencial Norte",2694682.37982,0,"bajo"
"9054",13827,"Olmo bola","25/01/2011 10:08","Bajo (2 - 4 mts)",60,"Mediano",-68.8491552616,-32.8634427189,6,"Residencial Norte",2694682.37982,0,"bajo"
"9055",13828,"Paraiso sombrilla","25/01/2011 10:03","Muy bajo (1 - 2 mts)",6,"Chico",-68.8491557852,-32.8634073217,6,"Residencial Norte",2694682.37982,0,"bajo"
"9064",13842,"Morera","26/01/2011 08:46","Medio (4 - 8 mts)",130,"Grande",-68.848757542,-32.8632342401,6,"Residencial Norte",2694682.37982,0,"medio"
"9070",13848,"Paraiso sombrilla","25/01/2011 10:32","Bajo (2 - 4 mts)",44,"Mediano",-68.8491382782,-32.8636654803,6,"Residencial Norte",2694682.37982,0,"bajo"
"9073",13852,"Aguaribay","19/12/2011 07:58","Medio (4 - 8 mts)",100,"Grande",-68.8759433026,-32.8689779246,8,"Aeroparque",2203364.73622,0,"medio"
"9077",13860,"Paraiso sombrilla","19/12/2011 07:50","Muy bajo (1 - 2 mts)",18,"Chico",-68.8750989465,-32.8679824416,8,"Aeroparque",2203364.73622,0,"bajo"
"9081",13866,"Morera","16/12/2011 12:42","Bajo (2 - 4 mts)",46,"Mediano",-68.8759343532,-32.8677516382,8,"Aeroparque",2203364.73622,0,"bajo"
"9089",13880,"Aguaribay","16/12/2011 12:27","Bajo (2 - 4 mts)",100,"Grande",-68.8761007633,-32.868367569,8,"Aeroparque",2203364.73622,0,"medio"
"9094",13888,"Fresno europeo","19/12/2011 12:22","Muy bajo (1 - 2 mts)",15,"Chico",-68.8755500595,-32.8664236932,8,"Aeroparque",2203364.73622,0,"bajo"
"9103",13903,"Paraiso","19/12/2011 12:06","Bajo (2 - 4 mts)",30,"Mediano",-68.8757409752,-32.8671213326,8,"Aeroparque",2203364.73622,0,"bajo"
"9111",13916,"Paraiso sombrilla","30/11/2011 12:20","Medio (4 - 8 mts)",110,"Grande",-68.8758257416,-32.8660560213,8,"Aeroparque",2203364.73622,0,"medio"
"9114",13921,"Fresno europeo","30/11/2011 12:14","Medio (4 - 8 mts)",40,"Mediano",-68.8756270603,-32.866027911,8,"Aeroparque",2203364.73622,0,"bajo"
"9119",13927,"Fresno europeo","30/11/2011 12:00","Bajo (2 - 4 mts)",28,"Mediano",-68.8755260823,-32.865658257,8,"Aeroparque",2203364.73622,0,"bajo"
"9121",13930,"Jacarand","29/11/2011 12:26","Alto (> 8 mts)",78,"Grande",-68.8754973051,-32.8655358205,8,"Aeroparque",2203364.73622,0,"bajo"
"9132",13961,"Conifera","29/11/2011 11:25","Medio (4 - 8 mts)",130,"Grande",-68.8771497296,-32.8652084812,8,"Aeroparque",2203364.73622,0,"medio"
"9133",13962,"Fresno europeo","29/11/2011 11:24","Muy bajo (1 - 2 mts)",18,"Chico",-68.8771599825,-32.8652470514,8,"Aeroparque",2203364.73622,0,"bajo"
